title,release_year,release_month,month_name,budget_musd,revenue_musd,predicted_revenue_musd,hit_probability_pct,risk_score,is_hit,is_flop,predicted_is_hit,is_major_studio,is_indie,studio_type,primary_genre,has_franchise,has_superhero,has_imax,director_median_revenue_musd
Pulp Fiction,1994,10,October,8.0,213.93,113.75,60.6,0.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,183.96
The Hobbit: An Unexpected Journey,2012,11,November,250.0,1021.1,1020.02,98.1,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,684.69
The Shawshank Redemption,1994,9,September,25.0,28.34,58.26,51.4,45.0,0,0.0,1,0,0,Mid-size Studio,Other,0,0,0,126.34
The Lord of the Rings: The Return of the King,2003,12,December,94.0,1118.89,794.01,97.1,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,672.47
Forrest Gump,1994,7,July,55.0,677.95,455.47,94.4,25.0,1,0.0,1,1,0,Major Studio,Comedy,0,0,0,242.72
Skyfall,2012,10,October,200.0,1108.56,912.51,98.2,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,1,267.5
Titanic,1997,11,November,200.0,1845.03,1029.87,97.1,25.0,1,0.0,1,1,0,Major Studio,Other,0,0,1,673.09
The Lord of the Rings: The Two Towers,2002,12,December,79.0,926.29,790.79,96.8,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,696.54
Suicide Squad,2016,8,August,175.0,745.0,598.46,97.9,0.0,1,0.0,1,1,0,Major Studio,Action,0,1,0,69.8
Batman Begins,2005,6,June,150.0,374.22,607.32,98.0,25.0,1,0.0,1,1,0,Major Studio,Action,0,1,0,550.47
The Martian,2015,9,September,108.0,630.16,554.21,97.1,45.0,1,0.0,1,1,0,Major Studio,Other,1,0,0,170.63
Captain America: Civil War,2016,4,April,250.0,1153.3,1034.82,98.1,0.0,1,0.0,1,1,0,Major Studio,Action,1,1,1,422.6
Captain America: The First Avenger,2011,7,July,140.0,370.57,672.83,98.4,0.0,1,0.0,1,1,0,Major Studio,Action,1,1,0,238.44
Harry Potter and the Philosopher's Stone,2001,11,November,125.0,976.48,942.29,98.1,0.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,343.64
Batman v Superman: Dawn of Justice,2016,3,March,250.0,873.26,836.37,98.1,0.0,1,0.0,1,1,0,Major Studio,Action,0,1,0,267.16
Pirates of the Caribbean: The Curse of the Black Pearl,2003,7,July,140.0,655.01,744.49,98.3,0.0,1,0.0,1,1,0,Major Studio,Action,1,0,0,420.33
Up,2009,5,May,175.0,735.1,774.03,97.2,0.0,1,0.0,1,1,0,Major Studio,Animation,1,0,0,710.21
Iron Man 2,2010,4,April,200.0,623.93,843.02,98.4,0.0,1,0.0,1,1,0,Major Studio,Action,1,1,0,358.98
Avengers: Age of Ultron,2015,4,April,280.0,1405.4,1063.01,98.2,0.0,1,0.0,1,1,0,Major Studio,Action,1,1,0,779.21
Star Wars,1977,5,May,11.0,775.4,386.76,85.3,15.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,640.93
The Amazing Spider-Man,2012,6,June,215.0,752.22,929.29,98.5,0.0,1,0.0,1,1,0,Major Studio,Action,1,1,0,383.22
The Wolf of Wall Street,2013,12,December,100.0,392.0,479.48,97.2,25.0,1,0.0,1,1,0,Major Studio,Comedy,0,0,0,97.79
Inside Out,2015,6,June,175.0,857.61,828.51,96.5,25.0,1,0.0,1,1,0,Major Studio,Animation,1,0,0,648.96
Thor,2011,4,April,150.0,449.33,631.14,98.4,0.0,1,0.0,1,1,0,Major Studio,Action,1,1,0,297.03
The Hunger Games: Catching Fire,2013,11,November,130.0,847.42,719.54,98.0,0.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,1,526.26
Despicable Me,2010,7,July,69.0,543.51,530.09,97.6,0.0,1,0.0,1,1,0,Major Studio,Animation,1,0,0,970.76
Inglourious Basterds,2009,8,August,70.0,319.13,317.53,97.7,25.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,168.93
The Revenant,2015,12,December,135.0,532.95,474.36,97.8,25.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,69.01
Man of Steel,2013,6,June,225.0,662.85,721.07,98.2,0.0,1,0.0,1,1,0,Major Studio,Action,0,1,0,302.23
Shutter Island,2010,2,February,80.0,294.8,419.51,96.9,25.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,103.86
WALL·E,2008,6,June,180.0,521.31,656.82,97.7,0.0,1,0.0,1,1,0,Major Studio,Animation,0,0,0,529.24
The Hangover,2009,6,June,35.0,459.27,281.21,97.5,0.0,1,0.0,1,1,0,Major Studio,Comedy,1,0,0,143.52
Big Hero 6,2014,10,October,165.0,652.11,759.24,96.9,0.0,1,0.0,1,1,0,Major Studio,Action,1,0,0,309.98
Finding Nemo,2003,5,May,94.0,940.34,590.29,97.8,0.0,1,0.0,1,1,0,Major Studio,Animation,1,0,0,389.57
Back to the Future,1985,7,July,19.0,381.11,310.62,90.1,15.0,1,0.0,1,1,0,Major Studio,Comedy,0,0,0,267.46
X-Men: Days of Future Past,2014,5,May,250.0,747.86,761.78,98.3,0.0,1,0.0,1,1,0,Major Studio,Action,1,1,0,294.34
"Monsters, Inc.",2001,11,November,115.0,562.82,718.38,97.8,0.0,1,0.0,1,1,0,Major Studio,Animation,0,0,0,796.36
The Godfather,1972,3,March,6.0,245.07,126.99,47.6,25.0,1,0.0,0,1,0,Major Studio,Other,0,0,0,71.22
Ant-Man,2015,7,July,130.0,519.31,587.15,98.0,0.0,1,0.0,1,1,0,Major Studio,Action,1,1,0,173.81
The Empire Strikes Back,1980,5,May,18.0,538.4,370.77,88.8,15.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,160.0
Lucy,2014,7,July,40.0,126.55,184.89,95.2,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,1,109.81
Harry Potter and the Prisoner of Azkaban,2004,5,May,130.0,789.8,838.0,98.2,0.0,1,0.0,1,1,0,Major Studio,Other,1,0,0,273.32
Gone Girl,2014,10,October,61.0,369.33,336.28,96.8,25.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,196.67
Harry Potter and the Chamber of Secrets,2002,11,November,100.0,876.69,879.8,98.4,0.0,1,0.0,1,1,0,Major Studio,Other,1,0,0,356.12
Life of Pi,2012,11,November,120.0,609.02,569.7,98.0,25.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,130.1
Sherlock Holmes,2009,12,December,90.0,524.03,516.51,98.1,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,92.76
Se7en,1995,9,September,33.0,327.31,215.79,87.7,20.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,201.34
Captain America: The Winter Soldier,2014,3,March,170.0,714.77,663.22,97.8,0.0,1,0.0,1,1,0,Major Studio,Action,1,1,0,641.87
Gravity,2013,9,September,105.0,716.39,405.85,97.0,45.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,297.79
The Imitation Game,2014,11,November,14.0,233.56,117.3,69.5,40.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,15.7
Harry Potter and the Goblet of Fire,2005,11,November,150.0,895.92,854.12,98.3,0.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,159.1
The Hunger Games: Mockingjay - Part 1,2014,11,November,125.0,752.1,760.7,97.9,0.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,550.09
World War Z,2013,6,June,200.0,531.86,492.7,98.1,25.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,146.2
Harry Potter and the Order of the Phoenix,2007,6,June,150.0,938.21,833.7,98.4,0.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,645.35
Now You See Me,2013,5,May,75.0,117.7,290.43,97.3,0.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,115.28
Gladiator,2000,5,May,103.0,457.64,619.63,97.8,25.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,182.13
The Lion King,1994,6,June,45.0,788.24,274.04,87.9,25.0,1,0.0,1,1,0,Major Studio,Animation,0,0,0,51.75
The Maze Runner,2014,9,September,34.0,348.32,213.08,89.2,20.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,311.26
Frozen,2013,11,November,150.0,1274.22,887.63,97.8,0.0,1,0.0,1,1,0,Major Studio,Animation,1,0,0,51.75
Harry Potter and the Half-Blood Prince,2009,7,July,250.0,933.96,1017.19,98.2,0.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,647.48
Toy Story,1995,10,October,30.0,373.55,202.74,92.2,0.0,1,0.0,1,1,0,Major Studio,Animation,0,0,0,506.4
Spider-Man,2002,5,May,139.0,821.71,758.73,98.6,0.0,1,0.0,1,1,0,Major Studio,Action,0,1,0,330.17
Pirates of the Caribbean: Dead Man's Chest,2006,6,June,200.0,1065.66,943.72,98.4,0.0,1,0.0,1,1,0,Major Studio,Action,1,0,0,351.89
X-Men: First Class,2011,5,May,160.0,353.62,363.99,97.1,0.0,1,0.0,1,1,0,Major Studio,Action,0,1,0,81.2
The Incredibles,2004,11,November,92.0,631.44,590.47,98.2,0.0,1,0.0,1,1,0,Major Studio,Action,0,1,0,309.01
Prometheus,2012,5,May,130.0,403.17,483.49,98.1,0.0,1,0.0,1,1,0,Major Studio,Other,1,0,0,185.76
Saving Private Ryan,1998,7,July,70.0,481.84,478.96,97.2,25.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,333.29
300,2006,12,December,65.0,422.61,385.27,97.9,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,342.26
Kill Bill: Vol. 1,2003,10,October,30.0,180.95,161.88,91.8,0.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,188.67
Pirates of the Caribbean: On Stranger Tides,2011,5,May,380.0,1045.71,861.49,98.6,0.0,1,0.0,1,1,0,Major Studio,Action,1,0,0,183.94
2012,2009,10,October,200.0,769.65,674.92,97.8,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,312.45
Edge of Tomorrow,2014,5,May,178.0,370.54,480.28,98.0,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,161.94
Jurassic Park,1993,6,June,63.0,920.1,727.09,97.6,0.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,316.43
I Am Legend,2007,12,December,150.0,585.35,512.46,98.1,25.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,591.78
Oblivion,2013,4,April,120.0,286.17,490.46,98.0,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,1,400.06
Pacific Rim,2013,7,July,180.0,407.6,543.82,98.1,0.0,1,0.0,1,1,0,Major Studio,Action,1,0,1,124.49
The Hobbit: The Battle of the Five Armies,2014,12,December,250.0,956.02,960.57,98.2,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,692.83
Thor: The Dark World,2013,10,October,170.0,644.57,677.27,97.8,0.0,1,0.0,1,1,0,Major Studio,Action,1,1,0,440.6
Silver Linings Playbook,2012,9,September,21.0,205.74,132.15,92.7,60.0,1,0.0,1,0,0,Mid-size Studio,Comedy,0,0,0,113.73
Ex Machina,2015,1,January,15.0,36.87,69.0,76.8,60.0,0,0.0,1,0,0,Mid-size Studio,Other,0,0,0,51.75
X-Men: Apocalypse,2016,5,May,178.0,543.93,674.59,98.2,0.0,1,0.0,1,1,0,Major Studio,Other,1,1,0,323.47
Looper,2012,9,September,30.0,47.04,55.1,52.7,20.0,0,0.0,1,0,0,Mid-size Studio,Action,0,0,0,5.53
Ted,2012,6,June,50.0,549.37,303.46,97.1,0.0,1,0.0,1,1,0,Major Studio,Comedy,0,0,0,217.02
Return of the Jedi,1983,5,May,32.35,572.7,396.51,92.1,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,51.75
Divergent,2014,3,March,85.0,288.75,400.33,97.7,0.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,86.92
Kick-Ass,2010,3,March,28.0,96.19,109.35,92.6,0.0,1,0.0,1,0,0,Mid-size Studio,Action,0,1,0,167.01
Alice in Wonderland,2010,3,March,200.0,1025.49,675.91,98.2,0.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,177.84
Brave,2012,6,June,185.0,538.98,754.66,97.6,0.0,1,0.0,1,1,0,Major Studio,Action,1,0,0,51.75
Despicable Me 2,2013,6,June,76.0,970.76,768.75,97.6,0.0,1,0.0,1,1,0,Major Studio,Animation,1,0,0,543.51
Toy Story 3,2010,6,June,200.0,1066.97,804.03,97.7,0.0,1,0.0,1,1,0,Major Studio,Animation,1,0,0,51.75
Minions,2015,6,June,74.0,1156.73,741.31,97.6,0.0,1,0.0,1,1,0,Major Studio,Animation,1,0,0,51.75
Wreck-It Ralph,2012,11,November,165.0,471.22,669.04,97.3,0.0,1,0.0,1,0,0,Mid-size Studio,Animation,1,0,0,51.75
The Truman Show,1998,6,June,60.0,264.12,279.78,96.6,25.0,1,0.0,1,1,0,Major Studio,Comedy,0,0,0,172.19
Birdman,2014,8,August,18.0,103.22,152.6,95.8,40.0,1,0.0,1,1,0,Major Studio,Comedy,0,1,0,154.95
The Hobbit: The Desolation of Smaug,2013,12,December,250.0,958.4,968.87,98.0,0.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,692.53
The Grand Budapest Hotel,2014,2,February,30.0,174.6,168.98,89.6,25.0,1,0.0,1,1,0,Major Studio,Comedy,0,0,0,39.77
Star Trek,2009,5,May,150.0,385.68,566.61,98.3,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,375.1
Pirates of the Caribbean: At World's End,2007,5,May,300.0,961.0,896.51,98.4,0.0,1,0.0,1,1,0,Major Studio,Action,1,0,0,369.34
Maleficent,2014,5,May,180.0,758.54,757.8,98.1,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,51.75
Alien,1979,5,May,11.0,104.93,165.2,84.0,15.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,205.64
American Sniper,2014,12,December,58.8,542.31,344.58,97.0,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,103.67
Spectre,2015,10,October,245.0,880.67,852.88,98.1,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,305.48
The Silence of the Lambs,1991,2,February,19.0,272.74,143.48,77.2,40.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,151.39
V for Vendetta,2006,3,March,54.0,132.51,209.75,95.6,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,45.06
Star Wars: Episode I - The Phantom Menace,1999,5,May,115.0,924.32,723.52,98.1,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,603.7
Black Swan,2010,12,December,13.0,327.8,151.3,89.0,40.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,86.65
Star Trek Into Darkness,2013,5,May,190.0,467.37,650.14,98.3,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,1,347.88
Men in Black,1997,7,July,90.0,589.39,545.98,98.0,0.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,267.17
Dawn of the Planet of the Apes,2014,6,June,170.0,710.64,568.41,97.8,25.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,97.45
The Prestige,2006,10,October,40.0,109.68,270.22,92.9,25.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,588.26
Taken,2008,2,February,25.0,226.83,121.42,93.9,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,25.35
Ratatouille,2007,6,June,150.0,623.72,635.93,97.6,0.0,1,0.0,1,1,0,Major Studio,Animation,0,0,0,51.75
Rise of the Planet of the Apes,2011,8,August,93.0,482.86,375.64,97.9,25.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,39.17
The Departed,2006,10,October,90.0,289.85,373.39,97.3,25.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,104.17
Schindler's List,1993,11,November,22.0,321.37,224.85,86.3,40.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,339.46
Spider-Man 2,2004,6,June,200.0,783.77,823.58,98.6,0.0,1,0.0,1,1,0,Major Studio,Action,0,1,0,335.59
The Hateful Eight,2015,12,December,44.0,155.76,151.9,93.0,25.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,192.27
Whiplash,2014,10,October,3.3,13.09,21.4,16.3,25.0,0,0.0,0,0,0,Mid-size Studio,Other,0,0,0,51.75
How to Train Your Dragon,2010,3,March,165.0,494.88,709.1,98.2,0.0,1,0.0,1,1,0,Major Studio,Animation,0,0,0,365.48
Terminator 2: Judgment Day,1991,7,July,100.0,520.0,579.62,97.4,0.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,893.93
The Amazing Spider-Man 2,2014,4,April,200.0,705.72,877.05,98.2,0.0,1,0.0,1,1,0,Major Studio,Action,0,1,0,406.47
Furious 7,2015,4,April,190.0,1506.25,698.4,98.3,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,171.21
Men in Black 3,2012,5,May,225.0,624.03,643.92,98.4,0.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,261.4
The Terminator,1984,10,October,6.4,78.37,118.73,86.1,0.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,967.53
Star Wars: Episode III - Revenge of the Sith,2005,5,May,113.0,850.0,613.5,98.3,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,622.28
X-Men,2000,7,July,75.0,296.34,317.36,97.0,0.0,1,0.0,1,1,0,Major Studio,Action,0,1,0,358.84
Her,2013,12,December,23.0,47.35,115.94,88.1,40.0,0,0.0,1,1,0,Major Studio,Other,0,0,0,51.92
21 Jump Street,2012,3,March,42.0,201.59,234.6,96.9,0.0,1,0.0,1,1,0,Major Studio,Action,1,0,0,300.2
Shrek,2001,5,May,60.0,484.41,429.45,97.6,0.0,1,0.0,1,1,0,Major Studio,Animation,0,0,0,530.61
The Wolverine,2013,7,July,120.0,415.44,396.62,97.3,0.0,1,0.0,1,1,0,Major Studio,Action,1,1,0,130.7
The Green Mile,1999,12,December,60.0,284.6,283.0,93.5,25.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,40.92
Transformers,2007,6,June,150.0,709.71,558.59,98.2,0.0,1,0.0,1,1,0,Major Studio,Action,1,0,0,465.71
Memento,2000,10,October,9.0,39.72,57.03,54.9,15.0,0,0.0,1,0,0,Mid-size Studio,Other,0,0,0,598.25
X-Men Origins: Wolverine,2009,4,April,150.0,373.06,393.13,97.3,0.0,1,0.0,1,1,0,Major Studio,Action,1,1,0,53.39
Star Wars: Episode II - Attack of the Clones,2002,5,May,120.0,649.4,582.91,98.4,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,672.43
The Hunger Games: Mockingjay - Part 2,2015,11,November,160.0,653.43,641.43,98.1,0.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,574.76
Mission: Impossible - Ghost Protocol,2011,12,December,145.0,694.71,551.54,98.4,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,1,287.92
Die Hard,1988,7,July,28.0,140.77,303.95,96.6,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,147.09
Kill Bill: Vol. 2,2004,4,April,30.0,152.16,147.88,92.6,0.0,1,0.0,1,0,0,Mid-size Studio,Action,1,0,0,192.78
Fury,2014,10,October,68.0,211.82,271.76,97.8,25.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,176.43
Sherlock Holmes: A Game of Shadows,2011,11,November,125.0,334.62,467.09,98.2,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,124.33
The Fifth Element,1997,5,May,90.0,263.92,436.01,98.1,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,75.46
Cars,2006,6,June,120.0,461.98,646.26,98.5,0.0,1,0.0,1,1,0,Major Studio,Animation,1,0,0,476.92
Ice Age,2002,3,March,59.0,383.26,473.01,96.9,0.0,1,0.0,1,1,0,Major Studio,Animation,0,0,0,264.56
Casino Royale,2006,11,November,150.0,599.05,581.07,98.4,0.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,209.22
Raiders of the Lost Ark,1981,6,June,18.0,389.93,341.76,93.8,15.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,336.83
Spirited Away,2001,7,July,15.0,274.93,185.09,88.6,15.0,1,0.0,1,0,0,Mid-size Studio,Animation,0,0,0,193.86
Back to the Future Part II,1989,11,November,40.0,332.0,369.78,96.3,0.0,1,0.0,1,1,0,Major Studio,Comedy,0,0,0,271.55
Insurgent,2015,3,March,110.0,295.24,414.14,97.9,0.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,127.44
Toy Story 2,1999,10,October,90.0,497.37,508.21,97.6,0.0,1,0.0,1,1,0,Major Studio,Animation,1,0,0,465.13
Catch Me If You Can,2002,12,December,52.0,352.11,287.9,96.2,25.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,338.28
"I, Robot",2004,7,July,120.0,347.23,483.41,98.4,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,106.83
Ocean's Eleven,2001,12,December,85.0,450.72,374.55,97.9,0.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,128.01
The Great Gatsby,2013,5,May,105.0,351.04,456.8,98.0,25.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,125.36
The Fault in Our Stars,2014,5,May,12.0,307.17,167.65,90.2,40.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,51.75
The Shining,1980,5,May,19.0,44.02,163.42,71.8,15.0,0,0.0,1,1,0,Major Studio,Other,0,0,0,53.9
The Hangover Part II,2011,5,May,80.0,254.46,426.81,98.3,0.0,1,0.0,1,1,0,Major Studio,Comedy,1,0,0,177.66
Drive,2011,8,August,15.0,78.05,65.17,79.4,40.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,4.64
Reservoir Dogs,1992,9,September,1.2,14.66,13.03,25.4,20.0,0,0.0,0,0,0,Mid-size Studio,Other,0,0,0,212.42
12 Years a Slave,2013,10,October,20.0,187.0,102.89,83.2,40.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,17.69
Eternal Sunshine of the Spotless Mind,2004,3,March,20.0,72.26,93.18,89.6,40.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,119.77
Terminator Genisys,2015,6,June,155.0,440.6,610.54,97.9,0.0,1,0.0,1,1,0,Major Studio,Action,1,0,0,644.57
Charlie and the Chocolate Factory,2005,7,July,150.0,474.97,470.44,98.5,0.0,1,0.0,1,1,0,Major Studio,Comedy,0,0,0,220.19
Edward Scissorhands,1990,12,December,20.0,53.0,246.54,93.5,40.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,252.65
The Bourne Identity,2002,6,June,60.0,214.03,256.43,98.0,25.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,188.02
Spider-Man 3,2007,5,May,258.0,890.87,885.99,98.5,0.0,1,0.0,1,1,0,Major Studio,Action,0,1,0,320.29
Twilight,2008,11,November,37.0,392.62,371.54,95.9,25.0,1,0.0,1,0,0,Mid-size Studio,Other,1,0,0,35.73
Zombieland,2009,10,October,23.6,102.39,161.49,95.5,0.0,1,0.0,1,1,0,Major Studio,Comedy,1,0,0,72.87
Oz: The Great and Powerful,2013,3,March,200.0,491.87,559.46,98.3,0.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,377.29
Monsters University,2013,6,June,200.0,743.56,699.74,98.1,0.0,1,0.0,1,1,0,Major Studio,Animation,1,0,0,51.75
X-Men: The Last Stand,2006,5,May,210.0,459.36,377.37,97.6,0.0,1,0.0,1,1,0,Major Studio,Action,1,1,0,212.04
Blade Runner,1982,6,June,28.0,33.14,200.55,92.5,25.0,0,0.0,1,1,0,Major Studio,Other,0,0,0,210.43
X2,2003,4,April,110.0,407.71,400.41,97.3,0.0,1,0.0,1,1,0,Major Studio,Action,0,1,0,342.93
A Good Day to Die Hard,2013,2,February,92.0,304.65,296.38,97.6,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,66.06
The Secret Life of Pets,2016,6,June,75.0,875.96,508.05,96.4,0.0,1,0.0,1,1,0,Major Studio,Animation,0,0,0,51.75
Donnie Darko,2001,1,January,6.0,1.27,12.26,34.1,45.0,0,1.0,0,0,0,Mid-size Studio,Other,0,0,0,16.85
The Matrix Reloaded,2003,5,May,150.0,738.6,478.4,98.3,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,234.69
Elysium,2013,8,August,115.0,286.14,292.05,97.5,25.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,157.61
The Fast and the Furious,2001,6,June,38.0,207.28,216.0,94.0,0.0,1,0.0,1,1,0,Major Studio,Action,1,0,0,143.47
Argo,2012,10,October,44.5,232.32,208.64,95.7,25.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,154.03
In Time,2011,10,October,40.0,173.93,131.64,91.6,0.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,25.08
Aladdin,1992,11,November,28.0,504.05,298.27,94.8,0.0,1,0.0,1,1,0,Major Studio,Animation,1,0,0,188.31
Nightcrawler,2014,10,October,8.5,38.7,40.97,49.5,40.0,0,0.0,0,0,0,Mid-size Studio,Other,0,0,0,51.75
The Social Network,2010,9,September,40.0,224.92,200.01,95.8,45.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,212.71
