budget,homepage,id,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count,genres_list,keywords_list,studios_list,actor_1,actor_2,actor_3,director,has_tagline,release_year,release_month
63000000.0,http://www.foxmovies.com/movies/fight-club,550,en,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",146.757391,1999-10-15,100853753.0,139.0,Released,Mischief. Mayhem. Soap.,Fight Club,8.3,9413,Drama,support group|dual identity|nihilism|rage and hate|insomnia|dystopia|violence,Regency Enterprises|Fox 2000 Pictures|Taurus Film|Linson Films|Atman Entertainment|Knickerbocker Films,Edward Norton,Brad Pitt,Meat Loaf,David Fincher,1,1999,10
250000000.0,http://www.thedarkknightrises.com/,49026,en,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",112.31295,2012-07-16,1084939099.0,165.0,Released,The Legend Ends,The Dark Knight Rises,7.6,9106,Action|Crime|Drama|Thriller,dc comics|crime fighter|terrorist|secret identity|burglar|hostage drama|time bomb|gotham city|vigilante|cover-up|superhero|villainess|tragic hero|terrorism|destruction|catwoman|cat burglar|imax|flood|criminal underworld|batman,Legendary Pictures|Warner Bros.|DC Entertainment|Syncopy,Christian Bale,Michael Caine,Gary Oldman,Christopher Nolan,1,2012,7
63000000.0,http://www.warnerbros.com/matrix,603,en,The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",104.309993,1999-03-30,463517383.0,136.0,Released,Welcome to the Real World.,The Matrix,7.9,8907,Action|Science Fiction,saving the world|artificial intelligence|man vs machine|philosophy|prophecy|martial arts|self sacrifice|fight|insurgence|virtual reality|dystopia|truth|cyberpunk|woman director|messiah|gnosticism,Village Roadshow Pictures|Groucho II Film Partnership|Silver Pictures|Warner Bros.,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Lilly Wachowski,1,1999,3
200000000.0,http://marvel.com/ironman3,68721,en,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",77.68208,2013-04-18,1215439994.0,130.0,Released,Unleash the power behind the armor.,Iron Man 3,6.8,8806,Action|Adventure|Science Fiction,terrorist|war on terror|tennessee|malibu|marvel comic|superhero|based on comic book|tony stark|iron man|aftercreditsstinger|marvel cinematic universe|mandarin|3d|war machine|iron patriot|extremis,Marvel Studios,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Shane Black,1,2013,4
140000000.0,http://www.ironmanmovie.com/,1726,en,Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",120.725053,2008-04-30,585174222.0,126.0,Released,Heroes aren't born. They're built.,Iron Man,7.4,8776,Action|Science Fiction|Adventure,middle east|arms dealer|malibu|marvel comic|superhero|based on comic book|tony stark|iron man|aftercreditsstinger|marvel cinematic universe|counter terrorism|agent coulson,Marvel Studios,Robert Downey Jr.,Terrence Howard,Jeff Bridges,Jon Favreau,1,2008,4
93000000.0,http://www.lordoftherings.net/,120,en,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",138.049577,2001-12-18,871368364.0,178.0,Released,One ring to rule them all,The Lord of the Rings: The Fellowship of the Ring,8.0,8705,Adventure|Fantasy|Action,elves|dwarves|orcs|middle-earth (tolkien)|hobbit|based on novel|mountains|fireworks|castle|volcano|password|death of a friend|uncle|mirror|wizard|sword and sorcery,WingNut Films|New Line Cinema|The Saul Zaentz Company,Elijah Wood,Ian McKellen,Cate Blanchett,Peter Jackson,1,2001,12
150000000.0,http://www.jurassicworld.com/,135397,en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",418.708552,2015-06-09,1513528810.0,124.0,Released,The park is open.,Jurassic World,6.5,8662,Action|Adventure|Science Fiction|Thriller,monster|dna|tyrannosaurus rex|velociraptor|island|sequel|suspense|disaster|escape|dinosaur|amusement park|animal attack|theme park|jurassic park|3d|animal horror,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,Chris Pratt,Bryce Dallas Howard,Irrfan Khan,Colin Trevorrow,1,2015,6
8000000.0,,680,en,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",121.463076,1994-10-08,213928762.0,154.0,Released,Just because you are a character doesn't mean you have character.,Pulp Fiction,8.3,8428,Thriller|Crime,transporter|brothel|drug dealer|boxer|massage|stolen money|crime boss|dance contest|junkyard|kamikaze|ambiguous ending|briefcase|redemption|heirloom|pulp fiction|reference to al green|theft|brutality,Miramax Films|A Band Apart|Jersey Films,John Travolta,Samuel L. Jackson,Uma Thurman,Quentin Tarantino,1,1994,10
250000000.0,http://www.thehobbit.com/,49051,en,The Hobbit: An Unexpected Journey,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",108.849621,2012-11-26,1021103568.0,169.0,Released,From the smallest beginnings come the greatest legends.,The Hobbit: An Unexpected Journey,7.0,8297,Adventure|Fantasy|Action,riddle|elves|dwarves|orcs|middle-earth (tolkien)|hobbit|mountains|wizard|journey|ring|goblin|courage|giant|tunnel|underground lake|buried treasure|climbing a tree|invisibility|ancient|gnomes,WingNut Films|New Line Cinema|Warner Bros. Pictures|Metro-Goldwyn-Mayer (MGM),Ian McKellen,Martin Freeman,Richard Armitage,Peter Jackson,1,2012,11
25000000.0,,278,en,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",136.747729,1994-09-23,28341469.0,142.0,Released,Fear can hold you prisoner. Hope can set you free.,The Shawshank Redemption,8.5,8205,Drama|Crime,prison|corruption|police brutality|prison cell|delinquent|parole board|escape from prison|wrongful imprisonment|framed for murder|1940s,Castle Rock Entertainment,Tim Robbins,Morgan Freeman,Bob Gunton,Frank Darabont,1,1994,9
94000000.0,http://www.lordoftherings.net,122,en,The Lord of the Rings: The Return of the King,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",123.630332,2003-12-01,1118888979.0,201.0,Released,The eye of the enemy is moving.,The Lord of the Rings: The Return of the King,8.1,8064,Adventure|Fantasy|Action,elves|orcs|middle-earth (tolkien)|based on novel|suspicion|bravery|war|honor|troll|brutality|violence|ghost|end of trilogy|quest|sword and sorcery,WingNut Films|New Line Cinema,Elijah Wood,Ian McKellen,Viggo Mortensen,Peter Jackson,1,2003,12
55000000.0,,13,en,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",138.133331,1994-07-06,677945399.0,142.0,Released,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",Forrest Gump,8.2,7927,Comedy|Drama|Romance,vietnam veteran|hippie|mentally disabled|running|based on novel|vietnam|vietnam war|friendship|love|family relationships|bully|mother son relationship|military|hugging|shrimping|wounded soldier|flashback|park bench|amputee,Paramount Pictures,Tom Hanks,Robin Wright,Gary Sinise,Robert Zemeckis,1,1994,7
200000000.0,http://www.skyfall-movie.com,37724,en,Skyfall,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",93.004993,2012-10-25,1108561013.0,143.0,Released,Think on your sins.,Skyfall,6.9,7604,Action|Adventure|Thriller,spy|secret agent|sociopath|killer|art gallery|british secret service|istanbul turkey|imax|uzi|booby trap|impersonating a police officer|macao,Columbia Pictures,Daniel Craig,Judi Dench,Javier Bardem,Sam Mendes,1,2012,10
200000000.0,http://www.titanicmovie.com,597,en,Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",100.025899,1997-11-18,1845034188.0,194.0,Released,Nothing on Earth could come between them.,Titanic,7.5,7562,Drama|Romance|Thriller,shipwreck|iceberg|ship|panic|titanic|ocean liner|epic|rich woman - poor man|love|disaster|tragic love|class differences|imax|star crossed lovers|steerage|salvage|rich snob|3d|1910s,Paramount Pictures|Twentieth Century Fox Film Corporation|Lightstorm Entertainment,Kate Winslet,Leonardo DiCaprio,Frances Fisher,James Cameron,1,1997,11
79000000.0,http://www.lordoftherings.net/,121,en,The Lord of the Rings: The Two Towers,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",106.914973,2002-12-18,926287400.0,179.0,Released,A New Power Is Rising.,The Lord of the Rings: The Two Towers,8.0,7487,Adventure|Fantasy|Action,elves|orcs|middle-earth (tolkien)|hobbit|based on novel|explosive|cave|fort|army|mission|attack|guide|wizard|ring|sword and sorcery,WingNut Films|New Line Cinema|The Saul Zaentz Company,Elijah Wood,Ian McKellen,Viggo Mortensen,Peter Jackson,1,2002,12
175000000.0,http://www.suicidesquad.com/,297761,en,Suicide Squad,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.",90.23792,2016-08-02,745000000.0,123.0,Released,Worst Heroes Ever,Suicide Squad,5.9,7458,Action|Adventure|Crime|Fantasy|Science Fiction,dc comics|shared universe|anti hero|secret mission|villain|superhero|supervillain|dc extended universe,DC Comics|Dune Entertainment|Atlas Entertainment|Warner Bros.|DC Entertainment,Will Smith,Margot Robbie,Joel Kinnaman,David Ayer,1,2016,8
150000000.0,http://www2.warnerbros.com/batmanbegins/index.html,272,en,Batman Begins,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",115.040024,2005-06-10,374218673.0,140.0,Released,Evil fears the knight.,Batman Begins,7.5,7359,Action|Crime|Drama,himalaya|martial arts|dc comics|crime fighter|secret identity|undercover|hero|loss of father|society|gotham city|vigilante|superhero|based on comic book|rivalry|tragic hero|ninja|good vs evil|crime|super powers|haunted by the past|evil doctor|escapade|master villain|fighting crime|unfulfillment|love and romance|unfulfilled love,DC Comics|Legendary Pictures|Warner Bros.|DC Entertainment|Syncopy|Patalex III Productions Limited,Christian Bale,Michael Caine,Liam Neeson,Christopher Nolan,1,2005,6
108000000.0,http://www.foxmovies.com/movies/the-martian,286217,en,The Martian,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",167.93287,2015-09-30,630161890.0,141.0,Released,Bring Him Home,The Martian,7.6,7268,Drama|Adventure|Science Fiction,based on novel|mars|nasa|isolation|botanist|stranded|spaceship|space|engineering|survival|astronaut|science|deep space explorer|duringcreditsstinger|battle for survival,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment|Genre Films,Matt Damon,Jessica Chastain,Kristen Wiig,Ridley Scott,1,2015,9
250000000.0,http://marvel.com/captainamericapremiere,271110,en,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",198.372395,2016-04-27,1153304495.0,147.0,Released,Divided We Fall,Captain America: Civil War,7.1,7241,Adventure|Action|Science Fiction,civil war|war|marvel comic|sequel|superhero|based on comic book|imax|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe|3d,Studio Babelsberg|Marvel Studios|Walt Disney Studios Motion Pictures|Vita-Ray Dutch Productions (III)|Deluxe Digital Studios,Chris Evans,Robert Downey Jr.,Scarlett Johansson,Anthony Russo,1,2016,4
140000000.0,http://captainamerica.marvel.com/,1771,en,Captain America: The First Avenger,"Predominantly set during World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",74.506246,2011-07-22,370569774.0,124.0,Released,When patriots become heroes,Captain America: The First Avenger,6.6,7047,Action|Adventure|Science Fiction,new york|usa|world war ii|nazis|marvel comic|superhero|based on comic book|nazi germany|period drama|brooklyn new york city|captain america|aftercreditsstinger|marvel cinematic universe|3d,Marvel Studios,Chris Evans,Hugo Weaving,Tommy Lee Jones,Joe Johnston,1,2011,7
125000000.0,http://harrypotter.warnerbros.com/harrypotterandthedeathlyhallows/mainsite/index.html,671,en,Harry Potter and the Philosopher's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",109.984351,2001-11-16,976475550.0,152.0,Released,Let the Magic Begin.,Harry Potter and the Philosopher's Stone,7.5,7006,Adventure|Fantasy|Family,witch|christmas party|magic|cutting the cord|halloween|child hero|broom|chosen one|frog|fantasy world|based on young adult novel,1492 Pictures|Warner Bros.|Heyday Films,Daniel Radcliffe,Rupert Grint,Emma Watson,Chris Columbus,1,2001,11
250000000.0,http://www.batmanvsupermandawnofjustice.com/,209112,en,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",155.790452,2016-03-23,873260194.0,151.0,Released,Justice or revenge,Batman v Superman: Dawn of Justice,5.7,7004,Action|Adventure|Fantasy,dc comics|vigilante|superhero|based on comic book|revenge|super powers|clark kent|bruce wayne|dc extended universe,DC Comics|Atlas Entertainment|Warner Bros.|DC Entertainment|Cruel & Unusual Films|RatPac-Dune Entertainment,Ben Affleck,Henry Cavill,Gal Gadot,Zack Snyder,1,2016,3
140000000.0,http://disney.go.com/disneyvideos/liveaction/pirates/main_site/main.html,22,en,Pirates of the Caribbean: The Curse of the Black Pearl,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",271.972889,2003-07-09,655011224.0,143.0,Released,Prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985,Adventure|Fantasy|Action,exotic island|blacksmith|east india trading company|gold|marriage proposal|mutiny|jamaica|skeleton|daughter|governor|wooden eye|gold coin|pirate|alcoholic|swashbuckler|caribbean|aftercreditsstinger|pirate ship|capuchin monkey|tortuga,Walt Disney Pictures|Jerry Bruckheimer Films,Johnny Depp,Geoffrey Rush,Orlando Bloom,Gore Verbinski,1,2003,7
175000000.0,http://disney.go.com/disneypictures/up/,14160,en,Up,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",92.201962,2009-05-13,735099082.0,96.0,Released,,Up,7.7,6870,Animation|Comedy|Family|Adventure,age difference|central and south america|balloon|animation|floating in the air|duringcreditsstinger|exploring,Pixar Animation Studios,Ed Asner,Christopher Plummer,Jordan Nagai,Pete Docter,0,2009,5
200000000.0,http://www.ironmanmovie.com/,10138,en,Iron Man 2,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",77.300194,2010-04-28,623933331.0,124.0,Released,"It's not the armor that makes the hero, but the man inside.",Iron Man 2,6.6,6849,Adventure|Action|Science Fiction,malibu|marvel comic|superhero|based on comic book|revenge|aftercreditsstinger|marvel cinematic universe,Marvel Studios,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Jon Favreau,1,2010,4
280000000.0,http://marvel.com/movies/movie/193/avengers_age_of_ultron,99861,en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",134.279229,2015-04-22,1405403694.0,141.0,Released,A New Age Has Come.,Avengers: Age of Ultron,7.3,6767,Action|Adventure|Science Fiction,marvel comic|sequel|superhero|based on comic book|vision|superhero team|duringcreditsstinger|marvel cinematic universe|3d,Marvel Studios|Prime Focus|Revolution Sun Studios,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Joss Whedon,1,2015,4
11000000.0,http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,11,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,126.393695,1977-05-25,775398007.0,121.0,Released,"A long time ago in a galaxy far, far away...",Star Wars,8.1,6624,Adventure|Action|Science Fiction,android|galaxy|hermit|death star|lightsaber|jedi|rescue mission|empire|rebellion|planet|smuggler|the force|space opera|galactic war|stormtrooper|totalitarianism,Lucasfilm|Twentieth Century Fox Film Corporation,Mark Hamill,Harrison Ford,Carrie Fisher,George Lucas,1,1977,5
