,is_hit
2311,0
1248,0
2849,0
1651,0
1211,1
291,1
747,1
1765,1
3349,0
3434,0
1049,1
697,1
1856,0
597,1
1166,0
2117,0
2825,0
2608,0
909,1
1259,0
114,1
1860,0
3182,0
3464,0
3719,0
3424,0
1745,1
3836,0
2436,0
1562,1
1099,1
2518,1
1424,1
1801,0
474,1
2720,0
3,1
1755,0
1152,0
3158,0
3637,0
2,1
3200,0
1496,0
197,1
1681,0
2704,0
2941,1
2901,0
2439,0
2118,0
1131,1
1816,0
1757,1
2029,0
2899,0
3712,0
700,1
538,0
3598,0
3277,0
136,1
3232,0
469,1
3175,0
3187,0
3764,0
1683,1
181,1
3645,0
3090,0
3303,0
404,1
3033,0
2319,0
1130,0
446,1
627,1
3218,0
1813,1
3102,0
1091,1
3756,0
3883,0
3269,0
249,1
1844,0
771,0
3602,0
1229,1
3148,0
2493,0
1267,0
1444,1
101,1
1658,0
3888,0
2686,0
1560,1
1293,0
2610,0
2743,0
1450,1
3631,0
3509,0
2683,0
2694,0
2140,1
3426,0
1454,0
1345,0
2155,1
3358,1
1912,0
3203,0
463,1
1933,1
1460,0
243,1
3201,0
2434,0
2721,0
2162,0
2563,0
3251,0
2917,0
1533,1
2512,0
2031,1
3023,0
1239,1
1518,1
3316,0
3095,0
2078,0
917,0
3226,0
1447,0
3572,0
479,1
1221,1
3448,0
2933,0
3104,0
717,1
1224,0
1640,1
342,1
138,1
1461,0
3897,0
1017,0
411,0
2156,0
2829,0
1031,0
2213,0
214,0
353,1
1827,0
3608,0
1807,1
2168,0
311,1
698,0
715,1
1889,0
129,1
2960,0
1962,1
1835,0
3340,0
2246,0
769,1
297,1
1528,0
1513,0
380,1
608,1
1088,1
1459,0
2961,0
575,0
1167,0
3079,0
991,1
2600,0
882,0
1944,0
2665,1
1242,0
1246,0
347,1
2386,0
3653,0
3144,0
2730,0
2037,1
3603,0
3330,0
3202,0
1387,1
676,1
1884,0
3294,0
1322,1
1045,1
2398,0
1372,0
1342,1
650,1
1405,1
1947,0
146,1
848,0
2144,0
2943,0
1186,0
458,1
921,1
1643,0
1468,0
3633,0
2954,0
2934,1
578,1
2733,0
590,1
1969,0
876,0
2055,0
3155,0
2099,1
948,1
3116,0
2582,0
481,0
2891,0
3115,0
2538,1
3453,0
3043,0
3138,0
2304,0
1189,1
603,1
333,1
922,1
2983,0
3400,0
1051,0
1191,0
967,1
1538,1
1618,1
3465,0
3618,0
2803,0
2272,0
1107,1
795,1
9,1
1055,1
1890,1
2250,1
821,1
709,1
1476,1
2988,0
772,1
524,1
2844,0
3743,0
867,0
3561,0
2417,0
794,1
3347,0
887,0
643,1
706,1
1957,1
3898,0
3321,0
272,1
1067,1
999,1
2423,0
3245,0
2200,1
2541,1
533,1
2885,0
576,1
2205,0
97,1
3443,0
3445,0
3650,0
2145,1
1133,1
1432,1
1747,1
3594,0
248,1
14,1
1645,0
2424,0
2528,0
503,1
2126,1
3730,0
1869,0
3289,0
152,1
566,1
2939,0
1366,0
276,1
2796,0
1521,0
460,1
894,1
3885,0
667,1
163,1
2659,1
870,1
2652,0
2383,0
3291,0
3143,0
1656,1
3812,0
2685,0
1263,1
3522,0
984,1
584,1
1297,0
1552,0
2000,1
2626,0
1803,0
25,1
2838,0
1010,1
209,1
1064,1
2850,0
3683,0
1607,1
1892,0
284,1
2647,0
301,1
3357,0
2722,0
1001,1
3087,0
310,1
1294,0
819,1
3747,0
2859,0
2376,0
3840,0
3632,0
3505,0
1780,0
2747,0
2449,0
3179,0
2303,1
3784,0
1188,0
280,1
2271,0
468,1
3240,0
1854,0
28,1
1433,1
1377,1
121,1
2661,0
3558,0
3754,0
2807,0
3789,0
3903,0
2399,0
841,1
3126,0
22,1
1589,0
3409,0
705,0
6,1
3588,0
3031,0
2489,0
3128,0
2353,0
1700,1
3336,0
941,0
3370,0
61,1
32,1
3456,0
3300,0
622,1
1859,0
232,1
3161,0
3391,0
2893,0
2587,0
3589,0
3772,0
624,1
805,1
3794,0
1480,1
3674,0
3380,0
1585,0
2923,0
1502,1
751,1
2864,0
2178,0
2835,0
3864,0
250,1
3843,0
2276,0
1931,0
2739,0
2598,0
2936,0
2125,0
3526,0
3194,0
2186,1
505,1
265,1
652,1
3048,0
2232,0
2428,0
2663,0
375,1
3576,0
2219,0
664,1
1910,0
1611,1
2116,1
1110,1
2014,0
1623,1
3022,0
3272,0
869,1
2585,0
1525,0
168,1
3511,0
543,1
1669,0
2867,0
2461,0
2770,0
1740,1
2924,0
1706,0
2411,0
3015,0
3288,0
2170,0
207,1
1149,1
1504,1
3054,0
1865,1
3190,0
2494,0
1776,1
532,1
2467,0
104,1
2100,1
2097,0
810,1
2354,1
462,1
1406,1
2744,0
2827,0
2817,1
2522,0
3428,0
1296,1
3830,0
3230,0
2416,0
216,1
3738,0
2284,0
2061,1
1175,0
1617,1
497,1
1018,1
2669,0
1194,0
889,1
3055,0
1376,1
3069,0
775,1
2711,0
177,1
3427,0
159,1
2049,0
2805,0
494,1
571,1
1465,1
3845,0
875,1
2551,0
838,0
823,0
164,1
3476,0
2710,1
3612,0
1837,1
678,1
1446,1
3259,0
3209,0
1269,1
1823,0
2658,1
3481,0
1036,0
1952,0
3038,0
1127,0
2696,0
1453,0
583,1
920,1
1626,1
1463,1
2281,0
2782,0
2070,1
2123,0
1673,1
2753,0
797,1
2146,0
881,0
748,1
1610,1
3265,0
2609,0
3636,0
2560,0
89,1
829,1
2605,0
2121,1
684,1
354,1
3841,0
3870,0
376,1
1399,0
2056,1
3444,0
3249,0
849,0
839,1
1256,1
3067,0
1870,1
1744,0
242,1
840,0
1098,0
2347,0
599,0
3319,0
2019,1
3397,0
3036,0
1828,0
53,1
1739,1
3329,0
2596,0
3494,0
1555,1
5,1
1917,0
356,1
1062,1
993,1
1997,1
3050,0
2932,0
2987,0
934,1
2820,0
2662,0
1170,1
352,1
3724,0
1493,1
2966,0
1558,1
3162,0
2150,0
1942,0
1761,0
2736,0
803,1
2727,0
1238,0
844,1
3053,0
2239,0
1497,0
2952,0
1415,1
2435,0
3556,0
226,0
3762,0
1946,0
1353,1
1625,1
2456,0
3021,0
665,1
2909,1
1563,1
1195,0
2845,0
2287,0
924,1
3818,0
2371,0
3533,0
3867,0
150,1
3544,0
2764,0
3872,0
946,1
544,1
1678,1
1553,0
3765,0
732,1
1317,1
294,1
1788,1
2314,0
1994,1
2532,0
2164,0
1540,0
2922,0
767,1
1329,1
648,1
1979,0
1448,1
1428,0
3667,0
3634,0
782,1
2894,0
1998,0
656,1
1845,0
2872,0
3821,0
1682,1
3066,0
2318,0
1236,1
3604,1
3390,0
3207,0
8,1
1402,0
3500,0
992,1
1863,0
3705,0
2543,0
1182,0
397,1
3861,0
3263,0
2524,1
1935,0
3817,0
128,1
240,1
1753,0
2900,0
1346,0
3100,0
1069,1
3827,0
215,1
3617,0
1766,0
1337,1
1136,1
2729,0
3436,0
2053,0
817,1
193,1
3419,0
3271,0
1976,1
2914,0
3732,0
86,1
1989,1
2571,1
2026,1
1896,1
861,1
2723,0
3168,0
119,1
1464,0
1223,1
2552,0
2497,1
3615,0
2110,0
1710,1
3114,0
2306,0
2202,0
2982,0
3261,0
3759,0
2866,1
1802,1
2397,0
1606,0
1040,0
3219,0
3776,0
1258,0
287,1
3690,0
3858,0
1230,1
382,1
266,1
1646,0
26,1
2809,0
2074,0
3601,0
3145,0
3170,0
3447,0
519,1
2375,0
3131,0
267,1
559,1
1775,0
3382,0
2498,0
712,1
932,1
2191,1
3034,0
2734,0
3337,0
2068,0
1675,1
1853,1
371,1
2503,0
3850,0
3684,0
567,1
925,1
1113,1
457,1
669,1
1002,1
1549,1
655,1
1590,1
1379,1
708,1
424,1
1927,0
3252,0
660,1
1467,1
514,1
484,1
3675,0
2505,0
741,0
2945,0
2480,1
2750,0
56,1
372,1
1725,1
3711,0
2270,0
2142,1
2581,0
3562,0
1635,0
3335,0
701,1
1411,0
46,1
3471,0
2075,0
1522,1
2716,0
1413,1
2994,0
3040,0
1132,0
1057,1
1023,1
989,1
638,1
1918,0
3611,0
2460,0
1546,0
3071,0
3012,0
217,1
3076,0
3411,0
2305,0
409,1
2241,0
1550,0
426,1
1310,0
2165,0
2400,1
1577,1
2413,1
2875,0
237,1
3473,0
2935,0
1639,1
3350,0
2765,1
1285,1
2550,0
586,0
3590,0
3893,0
3904,0
2297,0
3085,0
3677,0
620,1
1291,1
3221,0
1121,1
2133,0
100,1
3223,0
873,1
3641,0
3742,0
641,1
3795,0
2183,1
2832,0
3492,0
788,1
93,1
3895,0
3844,0
3878,0
2445,0
2879,0
3395,0
3028,0
1335,1
3121,0
1439,1
2269,0
3837,0
916,0
1919,1
1255,0
393,1
2005,1
77,1
1128,1
750,0
742,0
3600,0
2243,0
1586,1
3523,0
49,1
183,1
3717,0
3651,0
1644,1
2546,0
633,1
3171,1
1484,0
978,0
3029,0
781,1
3552,0
3472,0
2080,0
2233,1
799,0
1777,0
3122,0
2466,0
796,0
2058,0
2139,1
2197,1
845,1
3777,0
1085,1
1634,0
1390,1
2656,0
3521,0
2958,0
2490,0
1829,0
2549,0
3075,0
2574,0
66,1
1321,0
1146,1
2726,0
2980,0
383,1
1287,0
206,1
998,1
3120,0
3740,0
2547,0
2645,1
2421,0
625,0
820,0
3659,0
2951,0
1290,1
3286,0
2073,1
1507,1
509,1
2017,1
179,1
3876,0
3032,0
2755,1
3393,0
1320,1
57,1
182,1
3301,0
1603,1
3118,0
2905,1
681,1
3824,0
542,1
461,1
1137,0
1714,0
611,1
1280,0
334,1
1663,1
2788,0
3803,0
2486,0
703,1
3543,0
2863,0
1679,0
2020,1
662,1
2840,0
498,1
1307,1
1273,1
3001,0
2313,0
2258,0
2204,1
630,1
2159,1
288,1
1812,0
2358,0
123,1
2618,0
3058,0
432,1
3165,1
309,1
3348,0
172,0
1251,1
1781,0
780,0
826,1
3478,0
1974,0
3901,0
2906,0
985,1
1523,1
657,1
1554,0
3457,0
2062,0
2046,0
714,1
2300,1
2122,1
1996,0
2453,0
3811,0
2484,1
256,1
2252,0
1417,1
37,1
3042,0
1135,0
1527,1
3660,0
2469,1
2153,0
3722,0
1975,0
1125,0
1574,1
2995,0
2448,1
689,1
2752,1
1597,1
317,1
739,0
364,1
3504,0
1156,1
1203,1
1948,1
1193,0
3534,0
2540,0
2989,0
3739,0
3709,0
3361,0
1972,0
1902,1
3582,0
3664,0
842,1
3278,0
2193,1
723,0
531,0
883,1
355,0
2350,0
1992,1
1013,1
1833,1
1696,1
2889,0
3578,0
2396,1
2742,0
3825,0
1655,1
2916,0
2509,0
1503,0
3570,0
1341,0
1619,1
2201,0
3025,0
194,1
2741,0
1349,1
1154,1
3014,0
3587,0
938,1
2915,0
3020,0
1282,1
303,1
2515,0
2066,1
59,1
419,1
1571,1
2433,0
2630,0
2533,0
33,1
623,1
1789,0
2051,0
644,0
568,0
1707,1
321,1
2457,0
1665,0
415,1
1891,0
2035,0
1009,1
1241,1
3333,0
1038,0
1278,1
3000,0
1815,1
1300,0
3307,0
438,1
2275,0
1324,1
346,1
628,1
2824,0
1410,0
262,1
1015,1
1102,0
3239,0
3446,0
537,1
1840,0
2223,1
3666,0
1649,0
2883,0
1915,0
3769,0
2176,1
1938,0
2295,0
3227,0
1970,0
2361,1
3220,0
1810,1
1955,1
2079,0
3346,0
1066,1
1243,0
2804,0
1437,1
737,1
2843,0
2238,0
1288,0
1153,0
2429,0
445,1
1742,1
3018,0
2783,1
2002,0
2529,0
850,1
2953,0
2024,0
2957,0
1141,1
696,1
2427,0
1198,1
940,1
455,1
2392,0
880,1
2760,0
3491,0
1711,1
1914,1
1718,1
1690,0
757,1
467,1
1277,0
1797,0
219,1
1347,1
2956,1
1930,1
94,1
3628,0
886,1
987,1
47,1
3900,0
1729,0
2131,0
659,1
2978,0
2130,0
2302,0
2702,0
2190,1
3180,0
1524,1
2438,0
1511,1
1187,1
369,1
3455,0
1601,0
716,1
1967,0
3338,0
3417,0
3452,0
1426,0
812,1
1041,1
3247,0
300,1
822,1
1822,1
3305,0
68,1
348,1
1232,1
786,1
1383,1
2430,0
190,1
3555,0
3886,0
969,0
38,1
834,1
1596,1
1743,1
1612,1
2081,0
268,1
1941,0
274,1
2855,0
3392,0
1340,0
1746,1
1490,0
3726,0
3783,0
3345,0
1118,1
1633,0
832,1
825,1
1279,1
1129,0
2970,1
1314,0
2749,0
298,1
2714,0
3169,0
2619,0
3244,0
2856,0
2589,0
2602,1
642,0
3516,0
1784,1
23,1
289,1
2979,0
1689,0
1084,0
1668,1
736,0
1458,1
2475,0
1325,1
1283,1
2370,0
2040,0
1404,1
1936,1
776,1
1964,0
2816,0
1786,1
3672,0
2580,0
1642,0
878,1
3262,1
1735,0
2106,1
1382,0
2332,1
3676,0
221,1
149,0
707,1
2390,1
3488,0
115,1
3652,0
2992,0
3193,0
2811,1
2030,1
3006,0
798,1
1068,0
3279,0
2628,0
3461,0
13,1
140,1
2670,0
2878,0
779,1
3285,0
3331,0
3373,0
1588,1
3887,0
610,1
2240,0
855,1
2908,1
1631,1
720,1
2767,0
2969,0
1988,0
158,1
3585,0
859,0
2495,0
88,1
959,1
2060,0
1148,1
2285,1
635,0
646,1
983,0
2717,0
1228,0
2660,0
3820,0
3243,0
3198,0
3258,0
167,1
1120,1
2604,0
2880,0
918,1
208,1
634,1
1661,0
18,1
3147,0
395,1
1515,1
2128,0
2607,0
90,1
674,1
2033,1
1303,1
345,1
2537,0
451,0
3255,0
2762,0
1309,1
2406,0
3302,0
2184,1
3008,0
170,1
3862,0
196,1
1214,0
357,1
958,1
3508,0
142,1
3387,0
1505,1
1882,1
3281,0
2356,0
2001,0
1750,1
693,1
315,1
2488,0
1389,1
2012,1
1901,1
392,1
663,1
113,1
2526,0
3195,0
3731,0
236,1
2149,0
3770,0
1207,1
595,1
3222,0
731,1
1629,1
166,1
3156,0
144,1
1237,1
1674,0
360,0
1384,1
837,0
3875,0
3372,0
2521,0
2171,1
3351,0
3005,0
3318,0
1782,0
2904,0
1858,1
2676,0
1567,1
2642,0
2473,0
312,1
2886,0
2317,0
1304,0
1042,1
1014,1
1771,0
3595,0
3575,0
3466,0
3353,0
258,1
429,1
2846,0
2977,0
1749,1
2245,0
3715,0
1529,1
3865,0
1732,1
1487,0
1864,1
3597,0
740,1
1151,0
1702,0
3398,0
2308,0
2224,0
2699,0
2290,0
1334,1
2327,0
2516,0
2277,0
1737,1
39,1
3096,0
910,1
2634,1
2657,0
1916,0
2320,0
3011,0
1103,1
3512,0
994,1
589,1
1157,1
2135,0
1973,0
528,1
813,1
3293,0
3196,0
3649,0
3670,0
1542,1
1591,1
2280,1
1993,0
2993,0
2821,0
2127,1
517,1
2715,0
1880,0
2077,0
1530,0
41,1
3833,0
52,1
617,1
489,1
62,1
2344,0
447,1
903,1
2112,0
3124,0
3152,0
526,0
199,0
2211,0
2595,0
3304,0
148,1
1960,1
2921,0
3643,0
396,1
3906,0
3462,0
598,1
3554,0
2324,0
1791,0
1488,1
3430,0
1392,1
1469,1
3429,0
2485,0
3324,0
335,1
1019,0
1201,0
3260,0
1336,0
3540,0
995,1
933,1
2861,0
612,1
3334,0
2822,0
2559,0
3550,0
3884,0
17,1
552,1
1449,1
1315,0
639,1
556,1
2244,1
673,1
2925,0
3680,0
440,1
915,0
1029,0
3191,0
313,1
3548,0
1438,1
816,0
548,1
1519,1
3256,0
2172,0
518,1
3368,0
2293,0
80,1
264,1
3718,0
2254,0
1462,1
1818,0
1363,1
1966,0
2898,0
2009,0
3103,0
1984,0
403,1
1197,1
189,1
81,1
2831,0
3097,0
1177,1
1311,0
3437,0
1703,1
3483,0
1508,0
1327,1
3678,0
3325,0
1907,0
2374,1
1364,1
3881,0
2092,1
145,1
1104,1
671,1
725,1
1541,1
3627,0
745,1
937,1
2787,0
3781,0
2148,1
1628,1
3679,0
1418,1
1559,1
1420,0
591,1
2795,1
1181,0
30,1
508,1
1401,1
1893,0
2043,1
3773,0
2335,1
3009,0
1680,0
3758,0
2209,0
2955,0
1292,1
2625,0
3842,0
1922,0
2525,0
84,1
2292,0
2615,0
155,1
1624,0
1662,1
3873,0
1319,0
977,1
677,1
3757,0
2041,1
1479,0
3344,0
3891,0
1721,1
1247,0
581,1
231,1
1150,1
2554,0
1785,1
1963,0
2828,0
405,1
2010,0
1111,1
3047,0
176,1
192,0
1762,0
3405,0
3644,0
286,1
734,0
710,1
2381,0
1174,1
501,1
3808,0
3460,0
1537,1
444,1
1483,1
384,1
1564,1
2357,1
1688,0
609,1
3309,0
3141,0
402,1
2682,0
1520,1
901,1
3016,0
1872,0
2378,1
2948,0
34,1
1846,1
2328,0
3574,0
935,1
1434,1
3422,0
3741,0
1012,0
255,0
122,1
619,1
2510,0
2384,0
2086,0
2034,0
1000,1
1686,0
2998,1
3804,0
399,1
3654,0
1608,0
614,1
1044,1
562,1
2195,1
1007,1
1772,0
2114,1
550,1
847,1
1026,1
2072,0
1092,1
2501,0
1995,1
1987,0
2431,0
926,1
3149,0
3273,0
3354,0
1210,1
2203,0
1534,1
1602,1
273,1
3442,1
1016,1
3727,0
202,0
2337,0
2865,1
184,1
1738,1
3027,0
3815,0
239,1
2514,0
3236,0
3266,0
963,1
2482,1
1240,0
228,1
1501,1
3592,0
3167,0
3902,0
133,1
2964,0
3839,0
437,1
1431,0
3797,0
318,1
2561,0
2084,0
296,0
3707,0
1862,0
615,1
2440,1
1805,0
2208,1
2367,0
2364,0
3225,0
2296,1
3416,0
2426,1
1657,0
2279,0
766,1
3564,0
3879,0
3750,0
988,1
2774,0
1046,1
2638,0
2325,0
2218,0
577,1
1961,1
314,0
3692,0
2050,0
85,1
1471,0
2636,1
3813,0
141,1
1394,1
553,1
78,1
831,1
2343,0
1637,0
2555,0
3475,0
223,1
3105,0
2091,0
582,1
1798,0
2468,0
1299,0
3774,0
1419,0
1939,0
2217,0
51,1
1234,1
3467,0
1011,1
982,1
3486,0
3744,0
588,1
2862,0
1260,0
3127,0
1339,0
2999,0
381,1
3375,0
965,1
365,1
2393,0
329,1
892,1
441,1
247,1
476,1
3063,0
594,1
687,1
388,1
3535,0
3746,0
3238,0
3610,0
755,1
2675,0
546,1
1119,1
3520,0
2814,0
1544,0
1929,0
420,1
2542,0
1115,1
1876,1
3214,0
2700,0
3399,0
3697,0
1883,0
1920,0
2913,0
947,1
3189,0
205,1
2089,0
572,1
3094,0
40,1
2059,0
3298,0
513,1
1388,1
2523,0
900,1
2680,0
3454,0
31,1
683,1
3210,0
2242,0
3150,0
3596,0
547,0
3421,0
3450,0
3706,0
2572,0
1054,0
2408,0
811,1
3577,0
3084,0
20,1
2888,0
770,1
864,1
394,1
2210,0
3614,0
2928,0
24,1
768,1
957,0
1684,1
1814,1
3805,0
647,1
3135,0
1270,1
198,1
3490,0
975,1
1557,0
2877,1
2206,0
2586,0
939,1
1043,1
1575,1
2231,0
1215,0
2391,0
758,1
1620,1
3809,0
2695,0
2544,0
1305,1
19,0
1806,0
3528,0
79,1
1134,1
1360,1
2404,1
3407,0
843,1
3671,0
802,1
1116,0
3408,0
1730,1
3586,0
950,1
485,1
466,1
1760,1
2298,0
320,1
3283,0
3463,0
3874,0
3078,0
3235,0
253,1
2897,1
1697,1
1790,0
139,1
2459,0
110,1
955,1
2207,0
2584,0
2309,0
1971,0
2692,0
3413,0
1881,0
2857,0
1436,1
3529,0
3515,0
351,1
3851,0
1723,1
1200,0
3435,0
3790,0
1144,1
3767,0
3098,0
2105,1
3412,0
2792,0
2274,0
3081,1
2289,0
412,1
1445,1
3254,0
3024,0
3868,0
2064,1
416,1
2592,0
1312,0
3406,0
2282,0
1659,1
3322,0
2248,1
173,1
2693,0
2257,0
2007,0
224,1
2401,0
2841,0
3542,0
2671,0
2362,0
1604,1
2557,1
1466,0
1512,1
3538,0
3539,0
1190,1
127,1
654,0
1983,0
1105,0
1593,0
1722,0
2278,1
2152,1
2812,1
2038,0
1796,1
2286,0
2664,0
3073,0
3624,0
2614,0
3383,0
1991,1
1940,0
2264,0
3401,0
1836,1
3418,0
212,1
3132,0
1536,0
187,1
230,1
2323,0
2228,0
1435,0
1792,1
2565,0
1787,1
790,1
2476,1
2409,1
3327,0
480,0
1034,1
1142,1
91,1
1834,0
931,1
2047,1
1286,0
1375,1
2107,1
1545,1
3737,0
3166,0
1587,0
302,1
337,1
2974,0
2349,0
911,0
2562,0
1117,1
2881,0
784,1
3241,0
1456,1
968,1
102,1
1416,1
3137,0
3056,0
1076,0
2087,1
827,1
3140,0
2667,0
1736,0
1875,0
3853,0
836,1
2465,0
818,1
222,1
1767,0
890,0
607,0
980,1
1855,1
1491,0
3234,0
3545,0
3655,0
436,1
2412,0
592,1
1301,0
2566,1
2044,1
574,1
3549,0
117,1
1481,1
